Data;pH;Turbidez;CondutividadeEletrica
09/12/2008;7,51;;109
10/12/2008;7,89;2,14;
10/12/2008;7,3;;34,8
12/12/2008;7,1;2,53;
15/12/2008;7,57;20,7;
16/12/2008;5,39;7,72;
29/12/2008;6,81;11;
13/01/2009;5,75;20;
22/01/2009;6,29;3,22;
22/01/2009;6,58;20,2;
22/01/2009;6,3;52,3;
23/01/2009;7,18;80,8;
01/02/2009;7,86;15,2;
12/02/2009;7,77;6,2;
26/02/2009;7,16;28,9;
02/03/2009;6,69;14,2;
02/03/2009;6,16;13,6;
05/03/2009;6,62;6,39;
09/03/2009;7,25;0,51;
28/04/2009;6,28;5,24;
28/04/2009;6,69;28,5;
05/05/2009;6,07;8,75;
06/05/2009;7,04;4,64;
21/05/2009;7,65;;92
23/05/2009;6,97;;39
24/05/2009;7;;80
25/05/2009;5,16;0,47;
26/05/2009;7,68;;98
29/05/2009;7,65;;89
30/05/2009;7,43;;90
02/06/2009;7,82;;111
02/06/2009;6,75;13,4;
02/06/2009;6,81;5,93;
03/06/2009;7,5;;104
08/06/2009;7,03;5,97;
08/06/2009;7,38;4,54;
09/06/2009;7,4;1,99;
14/06/2009;7,66;3;
16/06/2009;6,59;4,76;
16/06/2009;5,36;0,42;
17/06/2009;6,51;2,03;
17/06/2009;5,5;0,32;
20/06/2009;6,89;;24
23/06/2009;6,28;;10
25/06/2009;6,75;3,28;39
25/06/2009;6,27;;11
26/06/2009;7,78;29,7;132
26/06/2009;6,25;;10
27/06/2009;7,53;29,7;72
27/06/2009;6,46;;11
29/06/2009;7,96;13,3;126
29/06/2009;6,87;;25
30/06/2009;7,41;4,54;47
01/07/2009;7,54;1,05;
01/07/2009;7,26;1,84;
01/07/2009;7,45;1,79;
01/07/2009;7,61;14,4;70
03/07/2009;6,2;2,35;6
04/07/2009;6,2;2,76;6
06/07/2009;7,5;1,84;
07/07/2009;6,5;0,86;
07/07/2009;7,6;1,99;
08/07/2009;7,4;2,27;
08/07/2009;6,6;4,78;9
09/07/2009;6,7;5,08;13
11/07/2009;7,3;2,72;63
13/07/2009;8,02;2,75;
14/07/2009;7,1;6,26;
14/07/2009;7,49;0,72;
14/07/2009;6,1;3,31;
20/07/2009;6,24;1,9;
20/07/2009;6,36;4,41;
20/07/2009;6,07;3,03;
11/08/2009;7,5;7,75;42
