Data;pH;Turbidez;CondutividadeEletrica;DBO;OD
15/07/2014;7,68;;69,1;;7,6
08/12/2018;8,7;41,7;;;6,4
26/09/2018;7,3;;;;6,9
15/06/2018;8,01;3,5;72;;
06/04/2016;6,81;;88,3;;7,28
02/11/2015;6,67;;27,1;;7,47
24/11/2010;7,95;49,2;0,097;;6,79
19/07/2016;7,66;;38,5;;8,1
14/10/2012;;10,5;40;;
22/11/2011;7,93;68,4;147;;
22/03/2014;8,18;31,4;202,7;;7,34
04/08/2015;8;;52;;8,19
12/07/2013;7,49;3,71;68,5;;8,08
24/03/2017;7,34;;;;7,82
02/04/2015;8,63;;46,1;;7,8
09/10/2009;7,4;69,7;46;;7,9
04/08/2011;7,59;3,47;45;;11,02
03/07/2012;7,3;8,81;42;;
13/10/2016;7,6;0;30,4;;7,76
23/10/2014;7,27;;40,7;;7,37
13/04/2013;7,14;37,3;176,89999;;7,63
12/10/2012;;7,22;34;;
23/03/2014;8,19;178;45,9;;7,8
01/12/2017;;36,8;;;
25/11/2010;7,54;98,9;0,036;;7,42
30/06/2009;7,41;4,54;47;;7,73
16/07/2013;7,94;5,02;53,5;;8,05
11/10/2013;7,74;2,62;41,5;;7,39
17/03/2012;7,22;13,1;63;;
08/08/2015;7,22;;39,4;;8,28
02/09/2010;7,02;3,61;0,03;;7,68
28/11/2012;6,9;11,1;33;;
09/12/2018;8,75;187,60001;;;6,7
24/11/2011;7,47;22,1;32;;
01/04/2016;7,38;;38,9;;7,8
05/11/2015;6,96;;33,7;;7,77
13/06/2018;7,83;;50;;7,9
23/07/2016;6,84;;32;;8,08
27/09/2018;7,4;;;;7,2
25/10/2008;6,91;;13;;7,83
25/07/2008;7,25;;1;;8,24
15/04/2008;7,09;;1;;7,56
24/02/2012;7,52;9,83;71,5;;7,61
22/03/2017;6,52;;;;7,85
28/11/2009;6,86;12;34;;
26/03/2015;8,4;;46,6;;7,78
21/08/2009;7,48;3,42;4;;
08/10/2016;6,55;0;0;;7,6
21/08/2012;6,93;4,73;21,79;;8,03
17/05/2012;6,67;18,1;24,6;;7,09
02/12/2017;;64,1;;;
15/04/2013;7,44;11,1;52,5;;7,53
24/06/2010;7,06;10,5;30;;7,46
20/10/2014;6,78;;20,17;;7,72
11/07/2013;7,14;2,19;28,6;;8,16
21/03/2014;7,89;27,3;52,6;;7,8
21/05/2009;7,65;;92;;7,58
30/09/2011;7,48;12,6;21,82;;7,97
25/09/2018;7,1;;;;7,2
06/12/2018;8,38;127,2;;;6,67
25/06/2011;7,59;13,9;27,8;;8,03
16/07/2016;7,02;;17,89;;8,14
28/11/2009;6,86;12;34;;
13/11/2012;7,15;381;56,2;;7,34
04/04/2016;6,59;;30;;7,62
31/10/2015;6,38;;18,33;;7,65
18/06/2018;8,08;;22;;8,12
03/08/2015;7,53;;25;;8,4
07/10/2013;7,1;5,71;20,87;;7,87
05/08/2010;6,33;1,38;;0,06;9,3
12/06/2006;6,82;1,17;;0;6,94
05/12/2006;6,47;1,48;;1,74;5,35
10/12/2008;7,89;2,14;;1,35;9,1
07/07/2009;6,5;0,86;;0,3;7,2
29/12/2009;7,01;1,92;;0,5;6,8
12/06/2006;7,29;5,02;;0;6,41
05/12/2006;7,41;7,06;;1,29;5
15/09/2008;7,66;1,55;;1,25;9,5
08/07/2009;7,4;2,27;;1,9;2,8
30/12/2009;7,55;26,4;;0,1;6,8
16/11/2010;7,36;5,81;;1,3;7,8
13/06/2017;7,95;2,13;;;8,22
07/03/2017;8,61;13,49;;;7,99
12/12/2018;7,88;48,36;;;
11/09/2018;7,73;4,56;;;7,52
19/06/2018;7,76;5,1267;;;8,2867
21/03/2018;7,8633;129,60001;;;7,25
05/12/2006;7,66;2,71;;0,34;3,36
15/09/2008;7,5;0,73;;4,3;7,2
07/07/2009;7,6;1,99;;2,5;7,3
29/12/2009;7,59;144;;0,2;6
16/11/2010;7,49;7,73;;1;6,2
05/05/2006;7,18;11,6;;1,02;6,94
23/11/2006;7,21;5,52;;1,59;5,88
28/01/2008;7,34;71,3;;1,6;5,79
02/09/2009;7,36;2,18;;1,8;7,5
16/12/2009;7,31;2,6;;0,6;7,5
04/11/2010;6,96;16,9;;0,1;6,5
05/05/2006;6,81;2,72;;1,86;7,34
23/11/2006;6,73;2,8;;1,64;6,01
06/10/2008;7,34;1,3;;6,98;9,1
02/09/2009;6,9;2,52;;3,1;8,4
16/12/2009;6,91;13,3;;0,4;7
04/11/2010;6,68;1,29;;0,2;6,8
17/12/2009;5,82;0,22;;1,7;6,7
23/09/2010;6,05;0,32;;0,62;9,96
13/07/2009;8,02;2,75;;1,8;7
06/03/2006;6,21;0,45;;1,48;7,87
11/10/2006;5,92;0,43;;0,6;4,12
22/10/2008;7,26;1,18;;3,31;9,19
23/11/2006;7,26;0,66;;0,76;3,94
22/10/2008;7,89;4,8;;4,1;10,15
15/09/2009;7,53;5,52;;1,6;6,5
16/12/2009;7,19;0,68;;1,2;5,3
04/11/2010;7,26;1,27;;0,1;5,7
14/06/2017;7,77;0,01;;;7,71
08/03/2017;8,35;5,48;;;7,5
22/03/2018;7,1533;30,1767;;;6,3
20/06/2018;7,1367;4,6167;;;7,5067
11/12/2018;7,06;22,23;;;
12/09/2018;7,3;3,54;;;7,19
08/03/2017;8,94;16,43;;;8,01
14/06/2017;7,98;1,9;;;8,2
22/03/2018;7,7533;91,82;;;7,0433
19/06/2018;7,7333;9,1967;;;8,24
