Data;pH;Turbidez;CondutividadeEletrica;DBO;OD
03/07/2014;7,7;5,97;157,7;;8,02
08/05/2018;7,19;20,3;179,60001;;7,62
28/03/2014;;37,3;;;6,58
11/11/2015;7,54;27,8;117;;5,66
04/06/2018;6,66;12;208,60001;;6,26
11/08/2017;7,3;9,93;155,8;;6,75
20/02/2019;7,15;101;168,89999;;7,57
28/10/2010;7,64;17,7;550;;3,51
09/07/2011;7,13;7,06;143;;8,25
21/04/2015;7,7;14,7;136,2;;6,2
25/09/2013;8,2;19,1;193,10001;;6,14
14/07/2008;7,8;;34;;4,3
12/03/2003;5,91;;36,2;;6,4
31/08/2002;5,47;;28,1;;
24/10/2003;5,21;;54,4;;5,3
08/12/2002;5,6;;64,7;;1,7
02/07/2003;5,67;;54,3;;4,1
08/12/2003;6,9;;29,4;;7,1
23/08/2007;5,5;;48;;3,4
10/12/2007;7,6;;56;;3,7
03/10/2008;7,42;;50;;7,04
17/05/2011;7,51;13,3;45;;5,15
01/02/2012;7,15;22,5;37,1;;8,2
19/09/2011;8,2;3,79;0,056;;7,5
06/08/2012;7,8;2,94;37,6;;7,52
10/06/2013;7,56;4,96;33,9;;7,74
09/02/2011;6,9;25,9;0,036;;7,2
22/02/2017;6,96;43,8;33,6;;
11/03/2013;7,33;10,2;33,6;;7,18
19/05/2010;7,62;7,37;37,8;;
30/04/2012;7,44;6,48;33,4;;7,51
11/08/2009;7,5;7,75;42;;7,2
11/08/2009;7,5;7,75;42;;7,2
10/11/2009;7,3;36,2;50;;7,9
19/06/2014;7,4;3,89;31,8;;7,37
13/02/2010;;27,9;;;
14/10/2013;7,81;4,95;45,4;;7,42
17/02/2015;8,26;;;;7,28
20/05/2018;7,54;3,53;;;7,48
23/10/2012;7,75;2,66;49,7;;7,21
17/02/2014;7,35;36,8;33,5;;7,58
03/09/2010;7,75;5,97;51;;
22/08/2017;7,48;3,36;27,1;;
30/09/2015;7,8;0,294;;;6,8
18/06/2015;8,2;;;;7,13
20/08/2018;7,66;0,34;;;7,82
18/05/2017;7,4;13,2;30,5;;
13/11/2018;7,7;3,3;;;7,72
02/02/2006;6,98;39,8;;1,56;5,34
05/07/2006;7,5;2,62;;1,69;7,68
15/12/2008;7,57;20,7;;1,8;7,2
09/03/2009;7,25;0,51;;6,6;9,5
24/11/2009;7,49;13,3;;0,1;5
28/10/2010;7,38;8,5;;0,07;7,4
