,tecnica,parametro,amostras,mape,lag
231,LSTM,Temperatura da Água,202,3.33,4
232,Regressão Linear,Temperatura da Água,202,3.37,5
233,Random Forest,Temperatura da Água,202,3.79,5
234,MLP,Temperatura da Água,202,3.35,5
235,LSTM,Temperatura da Água,202,3.3,5
236,Regressão Linear,Temperatura da Água,202,3.31,6
237,Random Forest,Temperatura da Água,202,4.23,6
238,MLP,Temperatura da Água,202,3.32,6
239,LSTM,Temperatura da Água,202,3.35,6
240,Regressão Linear,Temperatura da Água,202,3.34,7
241,Random Forest,Temperatura da Água,202,3.65,7
242,MLP,Temperatura da Água,202,3.34,7
243,LSTM,Temperatura da Água,202,3.36,7
244,Regressão Linear,Temperatura da Água,202,3.32,8
245,Random Forest,Temperatura da Água,202,3.76,8
246,MLP,Temperatura da Água,202,3.35,8
247,LSTM,Temperatura da Água,202,3.36,8
248,Regressão Linear,Temperatura da Água,202,3.41,9
249,Random Forest,Temperatura da Água,202,3.73,9
250,MLP,Temperatura da Água,202,3.41,9
251,LSTM,Temperatura da Água,202,3.41,9
252,Regressão Linear,pH,202,1.39,1
253,Random Forest,pH,202,1.79,1
254,MLP,pH,202,1.41,1
255,LSTM,pH,202,1.37,1
256,Regressão Linear,pH,202,1.46,2
257,Random Forest,pH,202,1.91,2
258,MLP,pH,202,1.38,2
259,LSTM,pH,202,1.38,2
260,Regressão Linear,pH,202,1.46,3
261,Random Forest,pH,202,1.52,3
262,MLP,pH,202,1.42,3
263,LSTM,pH,202,1.37,3
264,Regressão Linear,pH,202,1.33,4
265,Random Forest,pH,202,1.73,4
266,MLP,pH,202,1.32,4
267,LSTM,pH,202,1.32,4
268,Regressão Linear,pH,202,1.33,5
269,Random Forest,pH,202,1.71,5
270,MLP,pH,202,1.33,5
271,LSTM,pH,202,1.32,5
272,Regressão Linear,pH,202,1.34,6
273,Random Forest,pH,202,1.61,6
274,MLP,pH,202,1.33,6
275,LSTM,pH,202,1.33,6
276,Regressão Linear,pH,202,1.4,7
277,Random Forest,pH,202,1.89,7
278,MLP,pH,202,1.38,7
279,LSTM,pH,202,1.38,7
280,Regressão Linear,pH,202,1.34,8
281,Random Forest,pH,202,1.86,8
282,MLP,pH,202,1.36,8
283,LSTM,pH,202,1.34,8
284,Regressão Linear,pH,202,1.34,9
285,Random Forest,pH,202,1.79,9
286,MLP,pH,202,1.34,9
287,LSTM,pH,202,1.33,9
