,tecnica,parametro,amostras,mape,lag
234,MLP,Temperatura da Água,207,2.54,5
235,LSTM,Temperatura da Água,207,2.57,5
236,Regressão Linear,Temperatura da Água,207,2.68,6
237,Random Forest,Temperatura da Água,207,3.26,6
238,MLP,Temperatura da Água,207,2.6,6
239,LSTM,Temperatura da Água,207,2.61,6
240,Regressão Linear,Temperatura da Água,207,2.79,7
241,Random Forest,Temperatura da Água,207,3.14,7
242,MLP,Temperatura da Água,207,2.62,7
243,LSTM,Temperatura da Água,207,2.61,7
244,Regressão Linear,Temperatura da Água,207,2.74,8
245,Random Forest,Temperatura da Água,207,3.11,8
246,MLP,Temperatura da Água,207,2.6,8
247,LSTM,Temperatura da Água,207,2.6,8
248,Regressão Linear,Temperatura da Água,207,2.66,9
249,Random Forest,Temperatura da Água,207,3.19,9
250,MLP,Temperatura da Água,207,2.59,9
251,LSTM,Temperatura da Água,207,2.59,9
252,Regressão Linear,pH,207,1.81,1
253,Random Forest,pH,207,2.36,1
254,MLP,pH,207,1.82,1
255,LSTM,pH,207,1.79,1
256,Regressão Linear,pH,207,1.73,2
257,Random Forest,pH,207,2.07,2
258,MLP,pH,207,1.73,2
259,LSTM,pH,207,1.77,2
260,Regressão Linear,pH,207,1.77,3
261,Random Forest,pH,207,1.9,3
262,MLP,pH,207,1.78,3
263,LSTM,pH,207,1.77,3
264,Regressão Linear,pH,207,1.81,4
265,Random Forest,pH,207,2.08,4
266,MLP,pH,207,1.78,4
267,LSTM,pH,207,1.77,4
268,Regressão Linear,pH,207,1.77,5
269,Random Forest,pH,207,1.94,5
270,MLP,pH,207,1.77,5
271,LSTM,pH,207,1.77,5
272,Regressão Linear,pH,207,1.8,6
273,Random Forest,pH,207,2.2,6
274,MLP,pH,207,1.82,6
275,LSTM,pH,207,1.77,6
276,Regressão Linear,pH,207,1.93,7
277,Random Forest,pH,207,2.2,7
278,MLP,pH,207,1.91,7
279,LSTM,pH,207,1.87,7
280,Regressão Linear,pH,207,1.92,8
281,Random Forest,pH,207,2.12,8
282,MLP,pH,207,1.94,8
283,LSTM,pH,207,1.87,8
284,Regressão Linear,pH,207,1.83,9
285,Random Forest,pH,207,2.48,9
286,MLP,pH,207,1.83,9
287,LSTM,pH,207,1.79,9
