,tecnica,parametro,amostras,mape,lag
188,Regressão Linear,"DBO (5, 20)",161,8.65,3
189,Random Forest,"DBO (5, 20)",161,5.85,3
190,MLP,"DBO (5, 20)",161,2.06,3
191,LSTM,"DBO (5, 20)",161,2.77,3
192,Regressão Linear,"DBO (5, 20)",161,7.41,4
193,Random Forest,"DBO (5, 20)",161,2.63,4
194,MLP,"DBO (5, 20)",161,2.12,4
195,LSTM,"DBO (5, 20)",161,2.76,4
196,Regressão Linear,"DBO (5, 20)",161,7.57,5
197,Random Forest,"DBO (5, 20)",161,6.12,5
198,MLP,"DBO (5, 20)",161,2.13,5
199,LSTM,"DBO (5, 20)",161,2.75,5
200,Regressão Linear,"DBO (5, 20)",161,8.94,6
201,Random Forest,"DBO (5, 20)",161,5.37,6
202,MLP,"DBO (5, 20)",161,2.09,6
203,LSTM,"DBO (5, 20)",161,2.56,6
204,Regressão Linear,"DBO (5, 20)",161,8.59,7
205,Random Forest,"DBO (5, 20)",161,8.68,7
206,MLP,"DBO (5, 20)",161,2.11,7
207,LSTM,"DBO (5, 20)",161,2.86,7
208,Regressão Linear,"DBO (5, 20)",161,8.49,8
209,Random Forest,"DBO (5, 20)",161,4.75,8
210,MLP,"DBO (5, 20)",161,2.13,8
211,LSTM,"DBO (5, 20)",161,2.74,8
212,Regressão Linear,"DBO (5, 20)",161,6.95,9
213,Random Forest,"DBO (5, 20)",161,4.65,9
214,MLP,"DBO (5, 20)",161,2.3,9
215,LSTM,"DBO (5, 20)",161,2.77,9
216,Regressão Linear,Temperatura da Água,195,2.37,1
217,Random Forest,Temperatura da Água,195,2.84,1
218,MLP,Temperatura da Água,195,2.38,1
219,LSTM,Temperatura da Água,195,2.37,1
220,Regressão Linear,Temperatura da Água,195,2.42,2
221,Random Forest,Temperatura da Água,195,2.49,2
222,MLP,Temperatura da Água,195,2.41,2
223,LSTM,Temperatura da Água,195,2.37,2
224,Regressão Linear,Temperatura da Água,195,2.44,3
225,Random Forest,Temperatura da Água,195,2.55,3
226,MLP,Temperatura da Água,195,2.46,3
227,LSTM,Temperatura da Água,195,2.4,3
228,Regressão Linear,Temperatura da Água,195,2.37,4
229,Random Forest,Temperatura da Água,195,3.06,4
230,MLP,Temperatura da Água,195,2.38,4
231,LSTM,Temperatura da Água,195,2.36,4
232,Regressão Linear,Temperatura da Água,195,2.33,5
233,Random Forest,Temperatura da Água,195,2.76,5
234,MLP,Temperatura da Água,195,2.36,5
235,LSTM,Temperatura da Água,195,2.36,5
236,Regressão Linear,Temperatura da Água,195,2.49,6
237,Random Forest,Temperatura da Água,195,2.76,6
238,MLP,Temperatura da Água,195,2.47,6
239,LSTM,Temperatura da Água,195,2.44,6
240,Regressão Linear,Temperatura da Água,195,2.49,7
241,Random Forest,Temperatura da Água,195,2.78,7
242,MLP,Temperatura da Água,195,2.43,7
243,LSTM,Temperatura da Água,195,2.42,7
244,Regressão Linear,Temperatura da Água,195,2.4,8
245,Random Forest,Temperatura da Água,195,2.52,8
246,MLP,Temperatura da Água,195,2.4,8
247,LSTM,Temperatura da Água,195,2.41,8
248,Regressão Linear,Temperatura da Água,195,2.41,9
249,Random Forest,Temperatura da Água,195,2.69,9
250,MLP,Temperatura da Água,195,2.41,9
251,LSTM,Temperatura da Água,195,2.39,9
252,Regressão Linear,pH,179,1.49,1
253,Random Forest,pH,179,1.52,1
254,MLP,pH,179,1.49,1
255,LSTM,pH,179,1.46,1
256,Regressão Linear,pH,179,1.47,2
257,Random Forest,pH,179,1.52,2
258,MLP,pH,179,1.45,2
259,LSTM,pH,179,1.48,2
260,Regressão Linear,pH,179,1.52,3
261,Random Forest,pH,179,1.42,3
262,MLP,pH,179,1.48,3
263,LSTM,pH,179,1.49,3
