valor_coliformes,valor_dbo,valor_fosforo,valor_od,valor_ph,valor_solido,valor_temperatura,valor_turbidez
39366.666666666664,12.333333333333334,0.8913333333333333,4.966666666666667,6.933333333333334,383.0,23.5,38.666666666666664
700.0,4.0,0.255,7.5,6.8,190.0,18.0,22.0
157150.0,9.833333333333334,0.47433333333333333,3.4333333333333336,7.1499999999999995,261.6666666666667,24.666666666666668,49.0
290500.0,13.5,0.80875,2.4000000000000004,6.9750000000000005,270.0,24.875,20.5
2166.6666666666665,12.666666666666666,0.7673333333333333,4.0,7.233333333333333,298.3333333333333,23.0,32.0
24025.0,8.25,0.7830000000000001,2.925,7.275,292.75,24.125,31.75
24133.333333333332,11.0,0.5599999999999999,2.033333333333333,7.1000000000000005,257.0,22.333333333333332,18.0
6065.0,14.25,0.38375,5.2749999999999995,7.125,330.25,23.75,19.025
3010000.0,10.25,0.7475,4.575,7.025,311.0,24.0,27.0
3000.0,5.0,0.24,2.1,6.5,229.0,24.0,5.0
656500.0,11.5,0.545,6.65,7.1,246.0,21.0,282.5
18000.0,12.5,1.21,5.9,7.0,346.0,22.5,28.0
702400.0,7.666666666666667,0.5790000000000001,4.233333333333333,6.933333333333334,215.66666666666666,23.666666666666668,30.0
14000.0,12.0,1.3875,6.3,7.05,283.5,22.25,34.5
5150.0,9.5,2.355,3.9000000000000004,7.35,301.5,23.0,60.4
2600.0,5.5,0.15,3.05,6.75,212.5,21.0,25.15
159333.33333333334,10.0,1.08,4.633333333333334,7.099999999999999,294.0,22.5,79.66666666666667
1600.0,14.5,0.275,6.15,8.1,192.5,24.5,25.0
7650000.0,16.5,1.56,6.65,7.15,290.0,21.0,29.5
800.0,6.5,0.1575,3.4,6.8,215.5,18.0,17.25
455000.0,14.5,1.4849999999999999,6.4,7.199999999999999,296.5,22.5,62.5
48040.0,6.0,0.8718,5.512,7.4,237.4,23.6,75.2
9350.0,5.5,0.249,3.3,6.9,181.5,25.0,38.7
400450.0,16.0,1.305,5.8,7.55,328.5,20.5,67.5
450.0,5.5,0.1775,4.6499999999999995,6.85,179.0,21.5,4.6
183356.66666666666,32.333333333333336,0.5333333333333333,4.3999999999999995,7.233333333333333,278.6666666666667,24.833333333333332,28.333333333333332
1250.0,8.5,0.194,2.55,6.85,187.5,22.0,7.5
750.0,12.5,0.2095,3.5,6.949999999999999,178.5,25.0,2.4
55000.0,12.0,1.425,6.565,7.05,494.5,26.5,23.85
496666.6666666667,17.333333333333332,1.0333333333333334,5.166666666666667,7.099999999999999,310.6666666666667,21.0,94.66666666666667
8600.0,6.5,0.14500000000000002,2.55,6.9,209.0,22.5,13.25
