tecnica,parametro,amostras,mape,rmse,lag
Regressão Linear,Sólido Total,62,5.76,7.7,4
Random Forest,Sólido Total,62,9.47,9.96,4
MLP,Sólido Total,62,2.1,7.23,4
LSTM,Sólido Total,62,4.99,7.05,4
Regressão Linear,Sólido Total,62,9.62,12.74,5
Random Forest,Sólido Total,62,5.5,9.18,5
MLP,Sólido Total,62,10.51,13.29,5
LSTM,Sólido Total,62,15.14,17.39,5
Regressão Linear,Sólido Total,62,6.6,10.03,6
Random Forest,Sólido Total,62,5.46,7.69,6
MLP,Sólido Total,62,3.77,7.95,6
LSTM,Sólido Total,62,8.58,11.71,6
Regressão Linear,Sólido Total,62,7.52,10.75,7
Random Forest,Sólido Total,62,7.68,10.7,7
MLP,Sólido Total,62,5.93,9.07,7
LSTM,Sólido Total,62,13.25,15.64,7
Regressão Linear,Sólido Total,62,8.82,11.83,8
Random Forest,Sólido Total,62,10.98,13.42,8
MLP,Sólido Total,62,8.64,11.68,8
LSTM,Sólido Total,62,7.97,11.2,8
Regressão Linear,Sólido Total,62,8.79,11.81,9
Random Forest,Sólido Total,62,14.63,16.77,9
MLP,Sólido Total,62,18.61,21.5,9
LSTM,Sólido Total,62,13.45,15.85,9
Regressão Linear,Sólido Total,62,18.77,20.84,10
Random Forest,Sólido Total,62,34.76,36.52,10
MLP,Sólido Total,62,9.93,13.22,10
LSTM,Sólido Total,62,19.01,21.64,10
Regressão Linear,"DBO (5, 20)",49,12.17,0.39,1
Random Forest,"DBO (5, 20)",49,10.59,0.35,1
MLP,"DBO (5, 20)",49,2.33,0.29,1
LSTM,"DBO (5, 20)",49,11.04,0.37,1
Regressão Linear,"DBO (5, 20)",49,11.08,0.36,2
Random Forest,"DBO (5, 20)",49,9.72,0.33,2
MLP,"DBO (5, 20)",49,3.96,0.33,2
LSTM,"DBO (5, 20)",49,2.33,0.29,2
Regressão Linear,"DBO (5, 20)",49,10.9,0.36,3
Random Forest,"DBO (5, 20)",49,10.17,0.34,3
MLP,"DBO (5, 20)",49,3.47,0.3,3
LSTM,"DBO (5, 20)",49,9.1,0.33,3
Regressão Linear,"DBO (5, 20)",49,9.27,0.34,4
Random Forest,"DBO (5, 20)",49,6.45,0.33,4
MLP,"DBO (5, 20)",49,2.33,0.29,4
LSTM,"DBO (5, 20)",49,4.57,0.34,4
Regressão Linear,"DBO (5, 20)",49,8.69,0.33,5
Random Forest,"DBO (5, 20)",49,7.45,0.36,5
MLP,"DBO (5, 20)",49,6.05,0.42,5
LSTM,"DBO (5, 20)",49,5.61,0.33,5
Regressão Linear,"DBO (5, 20)",49,8.79,0.33,6
Random Forest,"DBO (5, 20)",49,7.25,0.34,6
MLP,"DBO (5, 20)",49,5.52,0.4,6
LSTM,"DBO (5, 20)",49,5.54,0.33,6
Regressão Linear,"DBO (5, 20)",49,9.07,0.34,7
