,tecnica,parametro,amostras,mape,lag
193,Random Forest,Sólido Total,205,0.95,9
194,MLP,Sólido Total,205,10.81,9
195,LSTM,Sólido Total,205,1.35,9
196,Regressão Linear,Sólido Total,205,4.65,10
197,Random Forest,Sólido Total,205,4.79,10
198,MLP,Sólido Total,205,5.84,10
199,LSTM,Sólido Total,205,5.78,10
200,Regressão Linear,"DBO (5, 20)",161,10.09,1
201,Random Forest,"DBO (5, 20)",161,8.69,1
202,MLP,"DBO (5, 20)",161,1.95,1
203,LSTM,"DBO (5, 20)",161,10.29,1
204,Regressão Linear,"DBO (5, 20)",161,9.01,2
205,Random Forest,"DBO (5, 20)",161,7.93,2
206,MLP,"DBO (5, 20)",161,1.95,2
207,LSTM,"DBO (5, 20)",161,8.16,2
208,Regressão Linear,"DBO (5, 20)",161,8.7,3
209,Random Forest,"DBO (5, 20)",161,8.05,3
210,MLP,"DBO (5, 20)",161,2.97,3
211,LSTM,"DBO (5, 20)",161,7.62,3
212,Regressão Linear,"DBO (5, 20)",161,7.28,4
213,Random Forest,"DBO (5, 20)",161,5.26,4
214,MLP,"DBO (5, 20)",161,1.95,4
215,LSTM,"DBO (5, 20)",161,7.05,4
216,Regressão Linear,"DBO (5, 20)",161,6.85,5
217,Random Forest,"DBO (5, 20)",161,6.02,5
218,MLP,"DBO (5, 20)",161,4.76,5
219,LSTM,"DBO (5, 20)",161,4.58,5
220,Regressão Linear,"DBO (5, 20)",161,6.93,6
221,Random Forest,"DBO (5, 20)",161,6.25,6
222,MLP,"DBO (5, 20)",161,3.45,6
223,LSTM,"DBO (5, 20)",161,3.77,6
224,Regressão Linear,"DBO (5, 20)",161,7.19,7
225,Random Forest,"DBO (5, 20)",161,7.16,7
226,MLP,"DBO (5, 20)",161,4.96,7
227,LSTM,"DBO (5, 20)",161,6.37,7
228,Regressão Linear,"DBO (5, 20)",161,7.57,8
229,Random Forest,"DBO (5, 20)",161,7.56,8
230,MLP,"DBO (5, 20)",161,6.81,8
231,LSTM,"DBO (5, 20)",161,5.54,8
232,Regressão Linear,"DBO (5, 20)",161,7.27,9
233,Random Forest,"DBO (5, 20)",161,7.0,9
234,MLP,"DBO (5, 20)",161,4.61,9
235,LSTM,"DBO (5, 20)",161,8.23,9
236,Regressão Linear,"DBO (5, 20)",161,7.28,10
237,Random Forest,"DBO (5, 20)",161,8.37,10
238,MLP,"DBO (5, 20)",161,6.91,10
239,LSTM,"DBO (5, 20)",161,6.87,10
240,Regressão Linear,Temperatura da Água,195,2.87,1
241,Random Forest,Temperatura da Água,195,2.87,1
242,MLP,Temperatura da Água,195,2.87,1
243,LSTM,Temperatura da Água,195,2.76,1
244,Regressão Linear,Temperatura da Água,195,3.03,2
245,Random Forest,Temperatura da Água,195,3.17,2
246,MLP,Temperatura da Água,195,5.34,2
247,LSTM,Temperatura da Água,195,2.78,2
248,Regressão Linear,Temperatura da Água,195,3.19,3
249,Random Forest,Temperatura da Água,195,3.44,3
250,MLP,Temperatura da Água,195,3.22,3
251,LSTM,Temperatura da Água,195,2.78,3
252,Regressão Linear,Temperatura da Água,195,3.06,4
253,Random Forest,Temperatura da Água,195,3.55,4
254,MLP,Temperatura da Água,195,3.36,4
255,LSTM,Temperatura da Água,195,2.84,4
256,Regressão Linear,Temperatura da Água,195,2.9,5
257,Random Forest,Temperatura da Água,195,3.4,5
258,MLP,Temperatura da Água,195,5.34,5
259,LSTM,Temperatura da Água,195,2.62,5
260,Regressão Linear,Temperatura da Água,195,3.07,6
261,Random Forest,Temperatura da Água,195,3.34,6
262,MLP,Temperatura da Água,195,3.34,6
263,LSTM,Temperatura da Água,195,2.43,6
264,Regressão Linear,Temperatura da Água,195,3.25,7
265,Random Forest,Temperatura da Água,195,3.44,7
266,MLP,Temperatura da Água,195,3.06,7
267,LSTM,Temperatura da Água,195,2.73,7
268,Regressão Linear,Temperatura da Água,195,3.38,8
269,Random Forest,Temperatura da Água,195,3.4,8
270,MLP,Temperatura da Água,195,3.1,8
271,LSTM,Temperatura da Água,195,2.69,8
272,Regressão Linear,Temperatura da Água,195,3.31,9
273,Random Forest,Temperatura da Água,195,3.21,9
274,MLP,Temperatura da Água,195,2.95,9
275,LSTM,Temperatura da Água,195,2.36,9
276,Regressão Linear,Temperatura da Água,195,3.35,10
277,Random Forest,Temperatura da Água,195,3.22,10
278,MLP,Temperatura da Água,195,3.24,10
279,LSTM,Temperatura da Água,195,2.54,10
280,Regressão Linear,pH,179,1.56,1
281,Random Forest,pH,179,1.81,1
282,MLP,pH,179,1.53,1
283,LSTM,pH,179,1.53,1
284,Regressão Linear,pH,179,1.56,2
285,Random Forest,pH,179,1.68,2
286,MLP,pH,179,3.12,2
287,LSTM,pH,179,1.45,2
288,Regressão Linear,pH,179,1.59,3
289,Random Forest,pH,179,1.55,3
290,MLP,pH,179,1.64,3
291,LSTM,pH,179,1.46,3
292,Regressão Linear,pH,179,1.56,4
293,Random Forest,pH,179,1.51,4
294,MLP,pH,179,1.61,4
295,LSTM,pH,179,1.45,4
296,Regressão Linear,pH,179,1.57,5
297,Random Forest,pH,179,1.64,5
298,MLP,pH,179,1.65,5
299,LSTM,pH,179,1.44,5
300,Regressão Linear,pH,179,1.62,6
301,Random Forest,pH,179,1.78,6
302,MLP,pH,179,1.67,6
303,LSTM,pH,179,1.44,6
304,Regressão Linear,pH,179,1.63,7
305,Random Forest,pH,179,1.76,7
306,MLP,pH,179,1.65,7
307,LSTM,pH,179,1.43,7
308,Regressão Linear,pH,179,1.67,8
309,Random Forest,pH,179,1.71,8
310,MLP,pH,179,1.68,8
311,LSTM,pH,179,3.12,8
312,Regressão Linear,pH,179,1.66,9
313,Random Forest,pH,179,1.69,9
314,MLP,pH,179,1.64,9
315,LSTM,pH,179,1.43,9
316,Regressão Linear,pH,179,1.66,10
317,Random Forest,pH,179,1.71,10
318,MLP,pH,179,1.73,10
319,LSTM,pH,179,1.45,10
