,tecnica,parametro,amostras,mape,lag
182,MLP,Sólido Total,205,8.82,6
183,LSTM,Sólido Total,205,1.44,6
184,Regressão Linear,Sólido Total,205,0.85,7
185,Random Forest,Sólido Total,205,0.88,7
186,MLP,Sólido Total,205,0.83,7
187,LSTM,Sólido Total,205,1.64,7
188,Regressão Linear,Sólido Total,205,1.14,8
189,Random Forest,Sólido Total,205,0.77,8
190,MLP,Sólido Total,205,10.81,8
191,LSTM,Sólido Total,205,1.99,8
192,Regressão Linear,Sólido Total,205,1.1,9
193,Random Forest,Sólido Total,205,0.81,9
194,MLP,Sólido Total,205,10.81,9
195,LSTM,Sólido Total,205,1.96,9
196,Regressão Linear,Sólido Total,205,4.65,10
197,Random Forest,Sólido Total,205,4.03,10
198,MLP,Sólido Total,205,31.32,10
199,LSTM,Sólido Total,205,7.57,10
200,Regressão Linear,"DBO (5, 20)",161,10.09,1
201,Random Forest,"DBO (5, 20)",161,8.74,1
202,MLP,"DBO (5, 20)",161,1.95,1
203,LSTM,"DBO (5, 20)",161,10.09,1
204,Regressão Linear,"DBO (5, 20)",161,9.01,2
205,Random Forest,"DBO (5, 20)",161,8.35,2
206,MLP,"DBO (5, 20)",161,1.95,2
207,LSTM,"DBO (5, 20)",161,8.34,2
208,Regressão Linear,"DBO (5, 20)",161,8.7,3
209,Random Forest,"DBO (5, 20)",161,8.38,3
210,MLP,"DBO (5, 20)",161,1.95,3
211,LSTM,"DBO (5, 20)",161,1.95,3
212,Regressão Linear,"DBO (5, 20)",161,7.28,4
213,Random Forest,"DBO (5, 20)",161,5.33,4
214,MLP,"DBO (5, 20)",161,1.95,4
215,LSTM,"DBO (5, 20)",161,6.77,4
216,Regressão Linear,"DBO (5, 20)",161,6.85,5
217,Random Forest,"DBO (5, 20)",161,5.91,5
218,MLP,"DBO (5, 20)",161,5.12,5
219,LSTM,"DBO (5, 20)",161,6.0,5
220,Regressão Linear,"DBO (5, 20)",161,6.93,6
221,Random Forest,"DBO (5, 20)",161,5.59,6
222,MLP,"DBO (5, 20)",161,4.92,6
223,LSTM,"DBO (5, 20)",161,5.42,6
224,Regressão Linear,"DBO (5, 20)",161,7.19,7
225,Random Forest,"DBO (5, 20)",161,7.09,7
226,MLP,"DBO (5, 20)",161,4.84,7
227,LSTM,"DBO (5, 20)",161,6.03,7
228,Regressão Linear,"DBO (5, 20)",161,7.57,8
229,Random Forest,"DBO (5, 20)",161,7.67,8
230,MLP,"DBO (5, 20)",161,3.5,8
231,LSTM,"DBO (5, 20)",161,1.95,8
232,Regressão Linear,"DBO (5, 20)",161,7.27,9
233,Random Forest,"DBO (5, 20)",161,7.23,9
234,MLP,"DBO (5, 20)",161,4.49,9
235,LSTM,"DBO (5, 20)",161,6.94,9
236,Regressão Linear,"DBO (5, 20)",161,7.28,10
