tecnica,parametro,amostras,mape,lag
Random Forest,Sólido Total,179,1.29,10
MLP,Sólido Total,179,1.01,10
LSTM,Sólido Total,179,1.19,10
Regressão Linear,"DBO (5, 20)",179,24.14,1
Random Forest,"DBO (5, 20)",179,20.42,1
MLP,"DBO (5, 20)",179,43.09,1
LSTM,"DBO (5, 20)",179,47.77,1
Regressão Linear,"DBO (5, 20)",179,20.78,2
Random Forest,"DBO (5, 20)",179,15.95,2
MLP,"DBO (5, 20)",179,1.94,2
LSTM,"DBO (5, 20)",179,4.22,2
Regressão Linear,"DBO (5, 20)",179,13.66,3
Random Forest,"DBO (5, 20)",179,13.45,3
MLP,"DBO (5, 20)",179,7.22,3
LSTM,"DBO (5, 20)",179,0.46,3
Regressão Linear,"DBO (5, 20)",179,14.08,4
Random Forest,"DBO (5, 20)",179,7.27,4
MLP,"DBO (5, 20)",179,13.76,4
LSTM,"DBO (5, 20)",179,2.64,4
Regressão Linear,"DBO (5, 20)",179,14.53,5
Random Forest,"DBO (5, 20)",179,3.37,5
MLP,"DBO (5, 20)",179,3.79,5
LSTM,"DBO (5, 20)",179,2.6,5
Regressão Linear,"DBO (5, 20)",179,13.25,6
Random Forest,"DBO (5, 20)",179,4.41,6
MLP,"DBO (5, 20)",179,1.43,6
LSTM,"DBO (5, 20)",179,2.18,6
Regressão Linear,"DBO (5, 20)",179,10.28,7
Random Forest,"DBO (5, 20)",179,3.67,7
MLP,"DBO (5, 20)",179,10.94,7
LSTM,"DBO (5, 20)",179,7.89,7
Regressão Linear,"DBO (5, 20)",179,9.53,8
Random Forest,"DBO (5, 20)",179,5.93,8
MLP,"DBO (5, 20)",179,3.78,8
LSTM,"DBO (5, 20)",179,43.91,8
Regressão Linear,"DBO (5, 20)",179,8.49,9
Random Forest,"DBO (5, 20)",179,6.96,9
MLP,"DBO (5, 20)",179,14.76,9
LSTM,"DBO (5, 20)",179,5.9,9
Regressão Linear,"DBO (5, 20)",179,9.11,10
Random Forest,"DBO (5, 20)",179,8.08,10
MLP,"DBO (5, 20)",179,15.07,10
