tecnica,parametro,amostras,mape,lag
Regressão Linear,"DBO (5, 20)",179,33.37,10
Random Forest,"DBO (5, 20)",179,27.51,10
MLP,"DBO (5, 20)",179,64.76,10
LSTM,"DBO (5, 20)",179,32.55,10
Regressão Linear,Temperatura da Água,179,3.91,1
Random Forest,Temperatura da Água,179,4.63,1
MLP,Temperatura da Água,179,4.09,1
LSTM,Temperatura da Água,179,4.08,1
Regressão Linear,Temperatura da Água,179,4.32,2
Random Forest,Temperatura da Água,179,4.86,2
MLP,Temperatura da Água,179,4.06,2
LSTM,Temperatura da Água,179,4.06,2
Regressão Linear,Temperatura da Água,179,4.38,3
Random Forest,Temperatura da Água,179,4.97,3
MLP,Temperatura da Água,179,4.14,3
LSTM,Temperatura da Água,179,4.0,3
Regressão Linear,Temperatura da Água,179,4.43,4
Random Forest,Temperatura da Água,179,5.08,4
MLP,Temperatura da Água,179,4.26,4
LSTM,Temperatura da Água,179,3.99,4
Regressão Linear,Temperatura da Água,179,4.15,5
Random Forest,Temperatura da Água,179,4.62,5
MLP,Temperatura da Água,179,4.1,5
LSTM,Temperatura da Água,179,4.0,5
Regressão Linear,Temperatura da Água,179,4.21,6
Random Forest,Temperatura da Água,179,4.5,6
MLP,Temperatura da Água,179,4.1,6
LSTM,Temperatura da Água,179,3.96,6
Regressão Linear,Temperatura da Água,179,4.33,7
Random Forest,Temperatura da Água,179,4.39,7
MLP,Temperatura da Água,179,4.07,7
LSTM,Temperatura da Água,179,3.97,7
Regressão Linear,Temperatura da Água,179,4.37,8
Random Forest,Temperatura da Água,179,4.62,8
MLP,Temperatura da Água,179,4.08,8
LSTM,Temperatura da Água,179,4.05,8
Regressão Linear,Temperatura da Água,179,4.31,9
Random Forest,Temperatura da Água,179,4.57,9
MLP,Temperatura da Água,179,4.21,9
LSTM,Temperatura da Água,179,3.94,9
Regressão Linear,Temperatura da Água,179,4.54,10
Random Forest,Temperatura da Água,179,4.49,10
MLP,Temperatura da Água,179,3.99,10
LSTM,Temperatura da Água,179,4.0,10
Regressão Linear,pH,179,1.44,1
Random Forest,pH,179,1.99,1
MLP,pH,179,1.4,1
LSTM,pH,179,1.39,1
Regressão Linear,pH,179,1.42,2
Random Forest,pH,179,1.87,2
MLP,pH,179,1.4,2
LSTM,pH,179,1.39,2
Regressão Linear,pH,179,1.47,3
Random Forest,pH,179,1.76,3
MLP,pH,179,1.35,3
LSTM,pH,179,1.4,3
Regressão Linear,pH,179,1.41,4
Random Forest,pH,179,1.72,4
MLP,pH,179,1.38,4
LSTM,pH,179,1.43,4
Regressão Linear,pH,179,1.41,5
Random Forest,pH,179,1.66,5
MLP,pH,179,1.37,5
LSTM,pH,179,1.37,5
Regressão Linear,pH,179,1.42,6
Random Forest,pH,179,1.49,6
MLP,pH,179,1.4,6
LSTM,pH,179,1.38,6
Regressão Linear,pH,179,1.4,7
Random Forest,pH,179,1.51,7
MLP,pH,179,1.35,7
LSTM,pH,179,1.36,7
Regressão Linear,pH,179,1.45,8
Random Forest,pH,179,1.56,8
MLP,pH,179,1.41,8
LSTM,pH,179,1.38,8
Regressão Linear,pH,179,1.45,9
Random Forest,pH,179,1.52,9
MLP,pH,179,1.39,9
LSTM,pH,179,1.37,9
Regressão Linear,pH,179,1.45,10
Random Forest,pH,179,1.6,10
MLP,pH,179,1.37,10
LSTM,pH,179,1.38,10
