,tecnica,parametro,amostras,mape,lag
223,LSTM,"DBO (5, 20)",205,85.55,6
224,Regressão Linear,"DBO (5, 20)",205,38.82,7
225,Random Forest,"DBO (5, 20)",205,77.48,7
226,MLP,"DBO (5, 20)",205,61.87,7
227,LSTM,"DBO (5, 20)",205,83.43,7
228,Regressão Linear,"DBO (5, 20)",205,45.08,8
229,Random Forest,"DBO (5, 20)",205,79.68,8
230,MLP,"DBO (5, 20)",205,65.52,8
231,LSTM,"DBO (5, 20)",205,83.89,8
232,Regressão Linear,"DBO (5, 20)",205,41.21,9
233,Random Forest,"DBO (5, 20)",205,80.89,9
234,MLP,"DBO (5, 20)",205,65.28,9
235,LSTM,"DBO (5, 20)",205,80.47,9
236,Regressão Linear,"DBO (5, 20)",205,38.97,10
237,Random Forest,"DBO (5, 20)",205,81.91,10
238,MLP,"DBO (5, 20)",205,75.34,10
239,LSTM,"DBO (5, 20)",205,84.1,10
240,Regressão Linear,Temperatura da Água,207,2.9,1
241,Random Forest,Temperatura da Água,207,3.46,1
242,MLP,Temperatura da Água,207,3.01,1
243,LSTM,Temperatura da Água,207,2.96,1
244,Regressão Linear,Temperatura da Água,207,3.06,2
245,Random Forest,Temperatura da Água,207,3.56,2
246,MLP,Temperatura da Água,207,3.27,2
247,LSTM,Temperatura da Água,207,2.99,2
248,Regressão Linear,Temperatura da Água,207,3.13,3
249,Random Forest,Temperatura da Água,207,3.7,3
250,MLP,Temperatura da Água,207,3.36,3
251,LSTM,Temperatura da Água,207,2.95,3
252,Regressão Linear,Temperatura da Água,207,3.14,4
253,Random Forest,Temperatura da Água,207,3.79,4
254,MLP,Temperatura da Água,207,3.48,4
255,LSTM,Temperatura da Água,207,2.97,4
256,Regressão Linear,Temperatura da Água,207,2.96,5
257,Random Forest,Temperatura da Água,207,3.62,5
258,MLP,Temperatura da Água,207,3.25,5
259,LSTM,Temperatura da Água,207,2.97,5
260,Regressão Linear,Temperatura da Água,207,2.99,6
261,Random Forest,Temperatura da Água,207,3.57,6
262,MLP,Temperatura da Água,207,3.4,6
263,LSTM,Temperatura da Água,207,2.94,6
264,Regressão Linear,Temperatura da Água,207,3.08,7
265,Random Forest,Temperatura da Água,207,3.47,7
266,MLP,Temperatura da Água,207,3.41,7
267,LSTM,Temperatura da Água,207,2.99,7
268,Regressão Linear,Temperatura da Água,207,3.07,8
269,Random Forest,Temperatura da Água,207,3.44,8
270,MLP,Temperatura da Água,207,3.15,8
271,LSTM,Temperatura da Água,207,2.87,8
272,Regressão Linear,Temperatura da Água,207,3.05,9
