valor_coliformes,valor_dbo,valor_fosforo,valor_od,valor_ph,valor_solido,valor_temperatura,valor_turbidez
1803669.5,27.0,1.7733333333333332,0.6833333333333332,6.683333333333334,306.8333333333333,20.849999999999998,37.9
2515000.0,25.0,0.7050000000000001,0.08,6.8,367.0,19.45,59.2
4341000.0,24.666666666666668,1.375,0.5233333333333333,6.8,296.0,19.900000000000002,19.766666666666666
1161.5,3.0,0.059000000000000004,6.699999999999999,6.738206321190932,88.5,20.95,9.555
2515.0,3.5,0.035,6.4,6.721295835051191,72.0,20.6,6.295
1513.5,3.0,0.0895,6.35,6.721295835051191,75.5,20.15,5.01
1525.0,2.0,0.0345,5.6,6.15,69.0,19.3,12.33
1157.0,5.0,0.045,4.1,6.5,78.5,19.15,6.25
1343333.3333333333,25.0,1.1583333333333334,0.6333333333333333,6.766666666666667,352.3333333333333,20.666666666666668,31.53333333333333
2156666.6666666665,20.0,0.8683333333333333,0.06,6.8999999999999995,340.6666666666667,21.65114,75.93333333333334
150.0,2.0,0.1775,3.6,6.6,77.5,21.35,4.885
2210000.0,39.333333333333336,0.6150000000000001,0.043333333333333335,6.833333333333333,258.0,25.166666666666668,32.77981265288946
1104333.3333333333,22.333333333333332,1.79,0.04666666666666667,6.8999999999999995,288.6666666666667,22.53333333333333,46.26666666666667
1515.0,2.0,0.036000000000000004,5.25,6.25,84.0,23.05,7.1
2225753.449229885,33.666666666666664,1.2083333333333333,0.13333333333333333,6.833333333333333,254.0,20.900000000000002,35.43333333333333
1157.0,2.5,0.27449999999999997,3.75,6.1,109.5,22.05,4.145
713.0,2.0,0.036000000000000004,3.6500000000000004,6.2,72.5,20.35,10.65
3390000.0,40.0,2.0933333333333333,0.3666666666666667,6.566666666666666,245.66666666666666,21.633333333333336,23.900000000000002
1152.0,2.0,0.0185,6.699999999999999,6.6,66.0,19.05,10.385
415.0,2.5,0.034,6.0,6.1,67.5,20.5,13.85
2510000.0,23.666666666666668,1.9433333333333334,0.05666666666666667,7.066666666666667,262.3333333333333,21.096666666666668,37.300000000000004
1960000.0,47.666666666666664,1.2266666666666668,0.43333333333333335,6.73,364.3333333333333,20.026666666666667,46.666666666666664
554.0,2.0,0.045,5.1,6.76,63.5,22.595,12.58
