"CÓDIGO HIDRO    SR HIDROGRAFICA   MUNICÍPIO              CORPO DÁGUA                LATITUDE LONGITUDE PERÍODO       INFLUÊNCIA DE MARÉ   ANO          DATA DA COLETA HORA DA COLETA TEMPERATURA DO AR (°C)    CONDUTIVIDADE (SpCond a 25 °C)     pH          OXIGENIO DISSOLVIDO (mg/L)     OXIGENIO DISSOLVIDO (%)    TURBIDEZ (NTU) TEMPERATURA DA ÁGUA (°C)    PROFUNDIDADE (m)"
"31760000   TOCANTINS         ABAETETUBA             RIO ARAPIRANGA DE BEJA          -1,664  -48,7796 SECO       SIM                        2017           20/06/17          16:24                  25,58                              12,44          5                             4,45                      54,96             3,71                     26,12                  0,3"
"31750000   TOCANTINS         ABAETETUBA             RIO TOCANTINS                  -1,7259  -48,8929 SECO       SIM                        2017           20/06/17          15:47                  28,45                              35,54       6,96                             6,57                      87,78               29                     30,54                  0,3"
"31690000   CAPIM             IPIXUNA DO PARA        IG. CARATAUAÇU                 -2,9996  -48,1909 SECO       NÃO                        2017           08/08/17          11:46                  28,38                                13,7       4,6                             5,06                       61,2             0,86                     24,99                  0,3"
"31678000   CAPIM             IPIXUNA DO PARA        RIO CAPIM                      -3,1606  -48,0975 SECO       NÃO                        2017           08/08/17          10:59                  31,33                                24,9      5,78                              7,3                       93,8            31,93                     28,34                  0,3"
"32549000   GURUPI            PARAGOMINAS            IG. MARITACA                   -2,7767  -47,1684 SECO       NÃO                        2017           08/08/17          15:15                  27,03                                29,4      4,94                             5,75                       71,5             6,07                     26,56                  0,4"
"32545000   GURUPI            PARAGOMINAS            RIO PRAINHA                  -2,99648  -47,34722 SECO       NÃO                        2017           09/08/17          11:10                    29,5                               35,6      5,71                             7,89                        102              3,9                     28,71                1,02"
"32550001   GURUPI            PARAGOMINAS            RIO URAIM                      -2,9287  -47,0528 SECO       NÃO                        2017           09/08/17           9:37                  27,09                                38,8      5,52                             3,16                       38,5             4,17                     25,45                1,16"
"31034000   ACARA             TOMÉ-AÇU               RIO ACARA MIRIM                 -2,423  -48,1467 SECO       NÃO                        2017           07/08/17          14:58                  30,74                                14,4      5,47                             6,19                       77,5             4,85                     26,88                  0,3"
"31642000   GUAMA             SANTA ISABEL           RIO GUAMÁ                    -1,49582  -48,19072 SECO       SIM                        2017           16/08/17          11:11                    31,1                               22,2      6,47                             6,89                       91,5            21,11                      30,7                1,13"
"31641000   GUAMA             BUJARU                 RIO GUAMÁ                    -1,51523  -48,04723 SECO       SIM                        2017           16/08/17          13:34                    31,4                               23,1      6,34                             7,09                       94,4            16,52                     30,04                0,75"
"31640000   GUAMA             BUJARU                 RIO BUJARU                   -1,71557  -47,97973 SECO       NÃO                        2017           16/08/17          14:49                    30,6                               16,6      5,87                             5,58                       69,6             9,29                      26,6                1,46"
"31638000   GUAMA             CONCORDIA DO PARÁ      IGARAPE DA VILA CAPOEIRA     -1,86816  -48,02845 SECO       NÃO                        2017           16/08/17          15:52                    26,4                               15,2      5,44                             5,93                       73,4             18,4                      26,2                0,43"
"31720000   CAPIM             AURORA DO PARÁ         RIO CAPIM                   -2,037365 -47,752179 SECO       NÃO                        2017           17/08/17          15:06                    30,6                               21,4      5,73                             97,4                       8,49             8,49                      29,7                  1,2"
"31039000   ACARA             ACARÁ                  RIO ACARÁ                      -1,9632 -48,19627 SECO       NÃO                        2017           17/08/17          17:01                      28                               14,5       5,4                             5,91                       76,1             5,54                      28,4                1,81"
"32100000   GUAMA             BENEVIDES              RIO BENFICA                    -1,3132    -48,304 SECO      SIM                        2017           29/08/17          11:26                  32,18                              219,4       6,73                             7,67                       97,3            17,52                     27,56                0,89"
"31645001   GUAMA             BELÉM                  RIO GUAMÁ                      -1,4552  -48,4017 SECO       SIM                        2017           29/08/17          11:21                    31,2                             39,12       5,94                              6,6                       87,5            482,9                      30,1                1,38"
"29840000   TOCANTINS         MOCAJUBA               RIO TOCANTINS                  -2,5801  -49,5105 SECO       SIM                        2017           18/09/17          18:46                    28,6                               40,4      7,53                             7,48                       99,4             8,19                      30,2                1,52"
"31026000   ACARA             TAILANDIA              RIO ACARÁ                      -2,4152  -48,6899 SECO       NÃO                        2017           19/09/17          11:47                    30,1                               14,4      5,28                             6,39                       82,3             2,62                     28,42                0,97"
"31025500   ACARA             TAILANDIA              RIO ACARÁ                      -2,9455  -48,6403 SECO       NÃO                        2017           19/09/17          16:20                    33,7                               14,1      4,99                             6,36                       79,3             2,19                      26,6                3,49"
"31626000   CAPIM             GOIANÉSIA DO PARÁ      RIO CAPIM                      -3,6728  -48,8444 SECO       NÃO                        2017           20/09/17          16:35                    30,4                               34,6       5,7                              7,8                      100,4            10,09                      28,4                0,82"
"31625000   CAPIM             GOIANÉSIA DO PARÁ      RIO VERDE                      -3,8167  -49,0938 SECO       NÃO                        2017           20/09/17          17:59                    29,3                               16,3      5,81                             6,41                       80,3            13,57                      26,9                0,59"
"31023000   MOJU              MOJU                   RIO MOJU                       -1,8769  -48,7621 SECO       NÃO                        2017           21/09/17          15:28                    30,2                             13,73       5,59                             6,37                       84,9              9,9                      30,6                1,09"
"31530000   GUAMA             OURÉM                  RIO GUAMÁ                    -1,55183  -47,11294 SECO       NÃO                        2017           26/09/17           9:45                      29                               25,6      6,18                             7,24                       94,3             4,15                      29,8                0,39"
"31409000   GUAMA             CAPITÃO POÇO           RIO GUAMÁ                       -1,859 -47,05096 SECO       NÃO                        2017           26/09/17          11:04                    31,2                               23,5      6,04                             7,35                       93,9             6,44                     28,05                  0,3"
"32400001   COSTA ATLANTICA   VISEU                  RIO PIRIÁ                    -1,80199  -46,69789 SECO       NÃO                        2017           26/09/17          16:39                    26,4                               29,2      6,79                             7,68                      101,7             6,87                     30,07                0,44"
